id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
1452	25489	2003-01-16 00:00:00	2002-12-07 00:00:00	MSY	New Orleans International	Southwest Airlines	Passenger Property Loss	Other	1100.0	Clothing - Shoes, belts, accessories, etc.	Canceled	0.0	
1454	0617638L	2003-01-16 00:00:00	2002-12-07 00:00:00	MSY	New Orleans International	Southwest Airlines	Passenger Property Loss	Other	1100.0	Luggage (all types including footlockers)	Denied	0.0	Deny
1653	25519	2003-01-22 00:00:00	2002-12-31 00:00:00	MSY	New Orleans International	UAL	Passenger Property Loss	Checked Baggage	29.99	Luggage (all types including footlockers)	Approved	31.0	Approve in Full
1842	0127017L	2003-01-27 00:00:00	2002-12-10 00:00:00	MSY	New Orleans International	Southwest Airlines	Passenger Property Loss	Checkpoint	50.0	Currency	Approved	50.0	Approve in Full
2362	0210037L	2003-02-10 00:00:00	2003-01-13 00:00:00	MSY	New Orleans International	Jet Blue	Passenger Property Loss	Checked Baggage	60.0	Clothing - Shoes, belts, accessories, etc.	Approved	60.0	Approve in Full
2530	0212032L	2003-02-12 00:00:00	2003-01-31 00:00:00	MSY	New Orleans International	UAL	Passenger Property Loss	Checked Baggage	150.0	Other	Approved	150.0	Approve in Full
2865	0225113L	2003-02-25 00:00:00	2003-02-09 00:00:00	MSY	New Orleans International		Passenger Property Loss	Checked Baggage	300.0	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Approved	300.0	Approve in Full
3286	0305033L	2003-03-05 00:00:00	2002-12-29 00:00:00	MSY	New Orleans International		Passenger Property Loss	Checkpoint	146.47	Clothing - Shoes, belts, accessories, etc.	Settled	58.59	Settle
3633	0313040L	2003-03-13 00:00:00	2003-02-21 00:00:00	MSY	New Orleans International	Delta Air Lines	Passenger Property Loss	Checked Baggage	372.36	Clothing - Shoes, belts, accessories, etc.	Settled	220.0	Settle
3996	0321002L	2003-03-21 00:00:00	2003-01-18 00:00:00	MSY	New Orleans International		Passenger Property Loss	Checked Baggage	292.0	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Approved	292.0	Approve in Full
4112	0325007L	2003-03-25 00:00:00	2003-03-08 00:00:00	MSY	New Orleans International		Passenger Property Loss	Checked Baggage	729.0	Jewelry - Fine	Denied	0.0	Deny
4329	0328019L	2003-03-28 00:00:00	2003-03-07 00:00:00	MSY	New Orleans International	Southwest Airlines	Passenger Property Loss	Checked Baggage	200.0	Locks	Denied	0.0	Deny
5529	0422038L	2003-04-22 00:00:00	2003-03-28 00:00:00	MSY	New Orleans International		Passenger Property Loss	Checked Baggage	560.0	Cameras - Digital	Settled	504.0	Settle
5832	0429014L	2003-04-29 00:00:00	2003-04-13 00:00:00	MSY	New Orleans International		Passenger Property Loss	Checked Baggage	600.0	Cameras - Digital	Settled	145.45	Settle
5898	0430017L	2003-04-30 00:00:00	2003-03-26 00:00:00	MSY	New Orleans International		Passenger Property Loss	Checked Baggage	25.0	Jewelry - Fine	Settled	12.5	Settle
6284	0512014L	2003-05-12 00:00:00	2003-04-14 00:00:00	MSY	New Orleans International	Northwest Airlines	Passenger Property Loss	Checked Baggage	2855.0	Jewelry - Fine	Approved	2855.0	Approve in Full
